9wn	Clovis	US	009	NM	34.4048	-103.20523	37775
9wm	Las Vegas	US	047	NM	35.59393	-105.2239	13753
9wk	Rio Rancho	US	043	NM	35.23338	-106.66447	87521
9wj	Santa Rosa	US	019	NM	34.93867	-104.68249	2848
9wh	Albuquerque	US	001	NM	35.08449	-106.65114	545852
fhm	Igloolik	CA	Igloolik Airport	YGT	69.36470032	-81.81610107	0
f11	Miminiska Seaplane Base	CA	Miminiska Seaplane Base		51.60139847	-88.58080292	0
9w7	Milan	US	006	NM	35.16976	-107.89089	3245
9w6	Gallup	US	031	NM	35.52808	-108.74258	21678
9w5	Grants	US	006	NM	35.1476	-107.85261	9182
9w4	Zuni Pueblo	US	031	NM	35.07253	-108.85064	6302
9w3	First Mesa	US	017	AZ	35.83667	-110.38152	1555
9w2	Flagstaff	US	005	AZ	35.19807	-111.65127	65870
9w1	Show Low	US	017	AZ	34.25421	-110.02983	10660
9w0	Prescott	US	025	AZ	34.54002	-112.4685	39843
9w9	Kayenta	US	017	AZ	36.72778	-110.25458	5189
9w8	Page	US	005	AZ	36.91472	-111.45583	7247
fhg	Arctic Bay	CA	Arctic Bay Airport		73.00589225	-85.0325489	0
6q8	Cajamarca	PE	0601	06	-7.16378	-78.50027	135000
6q9	Juanjuí	PE	2206	22	-7.17697	-76.72774	37715
6q2	Chimbote	PE	0218	02	-9.08528	-78.57833	316966
6q3	Tingo María	PE	1006	10	-9.29616	-75.99831	53177
6q0	Huacho	PE	1508	15	-11.10667	-77.605	54545
6q1	Huánuco	PE	1001	10	-9.93062	-76.24223	147959
6q6	Campoverde	PE	2501	25	-8.47533	-74.80709	8945
6q7	Masisea	PE	2501	25	-8.60528	-74.30472	0
6q4	San Ramón	PE	1203	12	-11.12417	-75.35733	14708
6q5	Puerto Ocopa	PE	1206	12	-11.14694	-74.30583	0
smz	Al Bayḑā’	LY		63	32.76272	21.75506	74594
smy	Al Marj	LY		66	32.48798	20.83174	85315
smx	Al Khadim Airport	LY	Al Khadim Airport		31.99850082	21.19179916	0
smw	Benghazi	LY		69	32.11486	20.06859	650629
